,Published,HDThumbnailUrl,ViewCount,VideoId,Title
0,2023-02-15T10:00:01Z,https://i.ytimg.com/vi/1-lSq0Y7Sf8/hqdefault.jpg,5834,1-lSq0Y7Sf8,한국 패션이 어떠냐고요? 패션업계에 있는 유럽인들이 말하는 한국인의 패션!
1,2023-02-11T01:00:32Z,https://i.ytimg.com/vi/z5-PlPKWMXk/hqdefault.jpg,138159,z5-PlPKWMXk,프랑스 여자가 한국 공장에서 일하며 외노자가 된 이유는?
2,2023-02-10T09:00:25Z,https://i.ytimg.com/vi/NFd-5sNibZE/hqdefault.jpg,6861,NFd-5sNibZE,한국 고시원에 살아본 에스토니아 사람 #shorts
3,2023-02-09T09:00:22Z,https://i.ytimg.com/vi/VUnf9lCdg_w/hqdefault.jpg,3793,VUnf9lCdg_w,뉴욕에서 한국어를 배운 특이한 이유 ㅋㅋ #shorts
4,2023-02-08T10:00:38Z,https://i.ytimg.com/vi/wtFDFJuvXhA/hqdefault.jpg,6260,wtFDFJuvXhA,등교길에 지하철 분식을 지나칠 수 없는 미국여자! 김떡순 오뎅까지 혼밥 먹방
5,2023-02-07T10:00:23Z,https://i.ytimg.com/vi/o6_oTWJzV-k/hqdefault.jpg,2830,o6_oTWJzV-k,히잡에 대한 젊은 이란 사람들의 시선 #shorts
6,2023-02-06T10:00:31Z,https://i.ytimg.com/vi/_h9q2MFC7aI/hqdefault.jpg,5751,_h9q2MFC7aI,프랑스 여자가 한국을 안전하다고 느끼는 이유 #shorts
7,2023-02-05T07:00:09Z,https://i.ytimg.com/vi/HYkpaPfSbEU/hqdefault.jpg,5511,HYkpaPfSbEU,혼혈이 매일 듣는 질문을 한국인한테 하기 #shorts
8,2023-02-04T03:45:01Z,https://i.ytimg.com/vi/nP0HSmDR2WI/hqdefault.jpg,69822,nP0HSmDR2WI,에스토니아에서 붕어빵 장사하려는 의류브랜드 사업가 마이! 한국에 왜 자꾸 오세요? 🇪🇪
9,2023-02-03T09:00:17Z,https://i.ytimg.com/vi/Voa2CNE64Tc/hqdefault.jpg,4414,Voa2CNE64Tc,인도혼혈이 한국인에게 유학을 권장하는 이유 #shorts
10,2023-02-02T09:00:17Z,https://i.ytimg.com/vi/ZgIt84g2ZVQ/hqdefault.jpg,5990,ZgIt84g2ZVQ,한국 칭찬하는 외국인을 보면 불편한 이유 #shorts
11,2023-02-01T10:00:00Z,https://i.ytimg.com/vi/08qyjgpm0RY/hqdefault.jpg,6528,08qyjgpm0RY,한국어로도 야한얘기 좀 하고 싶어요…
12,2023-01-29T03:30:03Z,https://i.ytimg.com/vi/9KBZzIrAUVQ/hqdefault.jpg,37853,9KBZzIrAUVQ,"크레인에 매달아 공개처형까지, 이란은 왜 이렇게 됐을까?"
13,2023-01-27T10:00:07Z,https://i.ytimg.com/vi/7lxVYfedCgk/hqdefault.jpg,26388,7lxVYfedCgk,한국에 가족없는 외국인들은 설날에 뭐해? 그들이 설날에 모인 이유는? (ft. 떡국파티)
14,2023-01-24T01:00:19Z,https://i.ytimg.com/vi/sMbdkDB-7A8/hqdefault.jpg,11947,sMbdkDB-7A8,제발 수업 진행 좀 해도 될까요?
15,2023-01-21T01:30:15Z,https://i.ytimg.com/vi/luwWImkyL9A/hqdefault.jpg,114662,luwWImkyL9A,군대 간 거 안 억울해요? 버클리 음대 출신 인도 한국 혼혈의 군대생활 🇮🇳🇰🇷
16,2023-01-18T10:00:23Z,https://i.ytimg.com/vi/NLRAm32EC7c/hqdefault.jpg,72833,NLRAm32EC7c,오랜만에 한국왔더니 프랑스랑 너무 비교돼요! 🇫🇷 7년만에 너무나 바뀐 한국
17,2023-01-13T09:30:04Z,https://i.ytimg.com/vi/KHbBm7vqXFU/hqdefault.jpg,151773,KHbBm7vqXFU,일본이랑 한국 뭐가 달라요? 한일혼혈이 살아보며 느낀 한국과 일본은? 🇰🇷 🇯🇵
18,2023-01-07T01:00:08Z,https://i.ytimg.com/vi/NM6AABG4fwo/hqdefault.jpg,112281,NM6AABG4fwo,아버지가 사랑했던 한국에 딸들이 살게 된 사연은? 나에게 특별한 인연이 있는 한국!
